order_id,date,store_id,product_id,qty,amount,payment
ORD116597,2026-08-21,S05,P01,1,32.00,支付宝
ORD107294,2026-06-19,S04,P19,1,15.00,银行卡
ORD116114,2026-08-17,S04,P04,1,38.00,现金
ORD100587,2026-05-04,S03,P18,2,36.00,现金
ORD100084,2026-05-01,S04,P17,2,24.00,会员储值
ORD112775,2026-07-26,S03,P07,2,44.00,支付宝
ORD104966,2026-06-03,S03,P07,1,22.00,会员储值
ORD106087,2026-06-11,S04,P13,1,20.00,现金
ORD101618,2026-05-11,S03,P07,1,22.00,微信
ORD113976,2026-08-03,S02,P05,2,68.00,银行卡
ORD112290,2026-07-22,S05,P18,1,18.00,银行卡
ORD110046,2026-07-07,S05,P20,1,22.00,会员储值
ORD115246,2026-08-11,S05,P21,2,32.00,会员储值
ORD114002,2026-08-03,S03,P07,2,44.00,现金
ORD114314,2026-08-05,S05,P19,1,15.00,支付宝
ORD101402,2026-05-10,S02,P06,1,42.00,会员储值
ORD108593,2026-06-28,S01,P01,3,96.00,微信
ORD116650,2026-08-22,S02,P06,1,45.00,现金
ORD113149,2026-07-29,S01,P01,2,64.00,会员储值
ORD104123,2026-05-28,S05,P18,1,18.00,银行卡
ORD109381,2026-07-03,S04,P17,1,12.00,支付宝
ORD109426,2026-07-04,S01,P01,1,32.00,支付宝
ORD116828,2026-08-23,S01,P13,3,60.00,现金
ORD105343,2026-06-06,S01,P13,1,20.00,支付宝
ORD107918,2026-06-23,S03,P08,2,50.00,银行卡
ORD101217,2026-05-09,S02,P05,2,68.00,支付宝
ORD112007,2026-07-20,S05,P12,1,8.00,微信
ORD115774,2026-08-15,S04,P20,2,44.00,支付宝
ORD113615,2026-08-01,S02,P04,1,38.00,银行卡
ORD108472,2026-06-27,S03,P08,1,25.00,微信
ORD117396,2026-08-27,S01,P03,3,78.00,微信
ORD102488,2026-05-17,S02,P17,1,12.00,现金
ORD100988,2026-05-07,S04,P10,1,24.00,会员储值
ORD112653,2026-07-25,S05,P17,2,24.00,现金
ORD100338,2026-05-03,S01,P02,2,60.00,银行卡
ORD116747,2026-08-22,S04,P10,1,24.00,现金
ORD107750,2026-06-22,S01,P16,1,5.00,银行卡
ORD104822,2026-06-02,S02,P12,3,24.00,支付宝
ORD115052,2026-08-10,S03,P03,2,52.00,微信
ORD115098,2026-08-10,S04,P10,1,24.00,支付宝
ORD111166,2026-07-15,S03,P08,1,25.00,支付宝
ORD115156,2026-08-11,S02,P01,1,32.00,银行卡
ORD104348,2026-05-30,S02,P03,1,26.00,微信
ORD106519,2026-06-14,S02,P04,1,38.00,会员储值
ORD114355,2026-08-06,S01,P03,2,52.00,微信
ORD107240,2026-06-19,S02,P06,1,42.00,支付宝
ORD103163,2026-05-22,S03,P07,2,44.00,支付宝
ORD116246,2026-08-18,S05,P00,1,22.00,微信
ORD100614,2026-05-04,S04,P20,1,22.00,支付宝
ORD112217,2026-07-22,S03,P18,1,18.00,银行卡
ORD113457,2026-07-31,S02,P04,1,38.00,微信
ORD103352,2026-05-23,S04,P15,2,12.00,微信
ORD114403,2026-08-06,S03,P14,1,10.00,会员储值
ORD112433,2026-07-24,S01,P01,1,32.00,支付宝
ORD111843,2026-07-19,S04,P16,3,15.00,现金
ORD100709,2026-05-05,S03,P08,1,25.00,现金
ORD115830,2026-08-15,S05,P02,2,60.00,现金
ORD100364,2026-05-03,S01,P14,1,10.00,支付宝
ORD118121,2026-08-31,S04,P08,2,50.00,现金
ORD112502,2026-07-25,S01,P15,1,6.00,微信
ORD100121,2026-05-01,S05,P13,2,40.00,微信
ORD105690,2026-06-07,S05,P13,1,20.00,微信
ORD110646,2026-07-12,S01,P13,1,20.00,银行卡
ORD107124,2026-06-18,S03,P03,1,26.00,微信
ORD114232,2026-08-05,S02,P21,3,48.00,微信
ORD108317,2026-06-26,S04,P10,1,24.00,现金
ORD103374,2026-05-23,S04,P10,2,48.00,支付宝
ORD117382,2026-08-26,S05,P19,1,15.00,支付宝
ORD115484,2026-08-13,S04,P10,1,24.00,微信
ORD114595,2026-08-08,S01,P05,2,68.00,现金
ORD106283,2026-06-13,S01,P12,2,16.00,支付宝
ORD108930,2026-06-30,S02,P05,1,34.00,微信
ORD110337,2026-07-10,S01,P15,3,18.00,银行卡
ORD108948,2026-06-30,S03,P10,1,24.00,微信
ORD104799,2026-06-02,S01,P02,1,30.00,微信
ORD100072,2026-05-01,S03,P07,1,22.00,银行卡
ORD114446,2026-08-06,S05,P03,1,26.00,会员储值
ORD112981,2026-07-27,S04,P03,2,52.00,会员储值
ORD103129,2026-05-22,S01,P02,1,30.00,银行卡
ORD112075,2026-07-21,S02,P01,1,32.00,微信
ORD107332,2026-06-20,S01,P15,1,6.00,银行卡
ORD118048,2026-08-31,S01,P01,1,32.00,微信
ORD114413,2026-08-06,S04,P14,1,10.00,现金
ORD104302,2026-05-30,S01,P12,3,24.00,支付宝
ORD105322,2026-06-06,S01,P09,2,36.00,银行卡
ORD106486,2026-06-14,S01,P09,1,18.00,支付宝
ORD105579,2026-06-07,S02,P04,1,38.00,微信
ORD106055,2026-06-11,S02,P05,1,34.00,支付宝
ORD112586,2026-07-25,S03,P09,3,54.00,支付宝
ORD103928,2026-05-27,S02,P06,2,84.00,支付宝
ORD105454,2026-06-06,S04,P19,2,30.00,支付宝
ORD113831,2026-08-02,S03,P19,1,15.00,现金
ORD113983,2026-08-03,S02,P17,2,24.00,支付宝
ORD115720,2026-08-15,S02,P06,1,45.00,支付宝
ORD100098,2026-05-01,S04,P17,3,36.00,支付宝
ORD115093,2026-08-10,S04,P15,1,6.00,微信
ORD102869,2026-05-20,S01,P16,1,5.00,会员储值
ORD107273,2026-06-19,S03,P17,3,36.00,银行卡
ORD117446,2026-08-27,S03,P16,1,5.00,银行卡
ORD110765,2026-07-12,S04,P09,1,18.00,银行卡
ORD117741,2026-08-29,S03,P07,2,44.00,现金
ORD104825,2026-06-02,S02,P05,2,68.00,微信
ORD114397,2026-08-06,S03,P13,1,20.00,银行卡
ORD107079,2026-06-18,S02,P06,3,87.00,现金
ORD106731,2026-06-15,S04,P12,2,16.00,支付宝
ORD102871,2026-05-20,S01,P08,2,50.00,微信
ORD117710,2026-08-29,S02,P05,3,102.00,现金
ORD106478,2026-06-14,S01,P01,1,32.00,微信
ORD107304,2026-06-19,S05,P06,1,42.00,支付宝
ORD102612,2026-05-18,S01,P12,1,8.00,会员储值
ORD103585,2026-05-24,S05,P10,1,24.00,微信
ORD104287,2026-05-30,S01,P16,1,5.00,银行卡
ORD115582,2026-08-14,S03,P14,2,20.00,现金
ORD115669,2026-08-15,S99,P04,1,38.00,微信
ORD104867,2026-06-02,S04,P11,3,78.00,银行卡
ORD102971,2026-05-20,S05,P09,2,36.00,微信
ORD101580,2026-05-11,S01,P01,1,32.00,银行卡
ORD105777,2026-06-08,S04,P10,2,48.00,银行卡
ORD118138,2026-08-31,S05,P05,1,34.00,现金
ORD104788,2026-06-02,S01,P01,1,32.00,现金
ORD107325,2026-06-19,S05,P03,2,52.00,支付宝
ORD109727,2026-07-05,S03,P09,2,36.00,微信
ORD104183,2026-05-29,S02,P05,2,68.00,支付宝
ORD102778,2026-05-19,S02,P06,2,84.00,支付宝
ORD117837,2026-08-29,S05,P21,1,16.00,现金
ORD114105,2026-08-04,S02,P04,2,76.00,银行卡
ORD113384,2026-07-30,S05,P03,1,26.00,会员储值
ORD109481,2026-07-04,S02,P03,1,26.00,支付宝
ORD118015,2026-08-30,S05,P01,1,32.00,现金
ORD105399,2026-06-06,S03,P07,3,66.00,银行卡
ORD108958,2026-06-30,S03,P14,3,30.00,银行卡
ORD109596,2026-07-04,S05,P10,2,48.00,现金
ORD112370,2026-07-23,S03,P14,1,10.00,微信
ORD116163,2026-08-18,S01,P12,2,16.00,现金
ORD106872,2026-06-16,S05,P14,1,10.00,银行卡
ORD115735,2026-08-15,S03,P13,2,40.00,微信
ORD104351,2026-05-30,S02,P15,1,6.00,会员储值
ORD112869,2026-07-26,S05,P07,1,22.00,银行卡
ORD113300,2026-07-30,S02,P04,1,38.00,现金
ORD103324,2026-05-23,S03,P12,2,16.00,现金
ORD100575,2026-05-04,S02,P05,2,68.00,支付宝
ORD117873,2026-08-30,S01,P21,2,32.00,现金
ORD113429,2026-07-31,S01,P14,2,20.00,银行卡
ORD115083,2026-08-10,S04,P07,2,44.00,银行卡
ORD104110,2026-05-28,S04,P10,1,24.00,会员储值
ORD110528,2026-07-11,S02,P01,1,32.00,会员储值
ORD115652,2026-08-15,S01,P03,1,26.00,支付宝
ORD103438,2026-05-24,S01,P07,1,22.00,微信
ORD115964,2026-08-16,S04,P21,3,48.00,微信
ORD116197,2026-08-18,S03,P08,3,75.00,会员储值
ORD114990,2026-08-09,S05,P12,1,,微信
ORD106841,2026-06-16,S04,P20,3,66.00,微信
ORD114509,2026-08-07,S02,P04,2,76.00,支付宝
ORD117027,2026-08-24,S02,P17,1,12.00,支付宝
ORD114084,2026-08-04,S01,P11,2,52.00,微信
ORD109568,2026-07-04,S04,P17,3,36.00,微信
ORD102375,2026-05-16,S04,P10,1,24.00,会员储值
ORD109524,2026-07-04,S03,P08,2,50.00,支付宝
ORD108514,2026-06-27,S04,P07,1,22.00,现金
ORD110191,2026-07-08,S05,P08,2,50.00,微信
ORD113428,2026-07-31,S01,P17,1,12.00,微信
ORD100696,2026-05-05,S02,P02,1,30.00,会员储值
ORD108312,2026-06-26,S04,P05,2,68.00,会员储值
ORD104854,2026-06-02,S03,P02,1,30.00,支付宝
ORD110376,2026-07-10,S02,P15,3,18.00,会员储值
ORD113036,2026-07-28,S02,P05,2,68.00,银行卡
ORD100481,2026-05-03,S04,P11,2,52.00,银行卡
ORD103186,2026-05-22,S04,P10,1,24.00,现金
ORD113570,2026-08-01,S01,P21,1,16.00,现金
ORD112049,2026-07-21,S01,P16,1,5.00,会员储值
ORD100999,2026-05-07,S04,P11,1,26.00,支付宝
ORD108338,2026-06-26,S05,P17,3,36.00,会员储值
ORD113164,2026-07-29,S01,P01,2,64.00,支付宝
ORD111808,2026-07-19,S03,P12,3,24.00,微信
ORD110768,2026-07-12,S04,P15,1,6.00,银行卡
ORD111609,2026-07-18,S03,P08,2,,现金
ORD111384,2026-07-17,S01,P13,3,60.00,支付宝
ORD102714,2026-05-18,S05,P02,1,30.00,微信
ORD104582,2026-05-31,S03,P09,3,54.00,会员储值
ORD113257,2026-07-29,S05,P07,2,44.00,现金
ORD112046,2026-07-21,S01,P16,2,10.00,现金
ORD117142,2026-08-25,S01,P01,2,64.00,会员储值
ORD105908,2026-06-09,S05,P19,1,15.00,支付宝
ORD114602,08-08-2026,S01,P02,1,¥30.00,支付宝
ORD104718,2026-06-01,S03,P01,1,32.00,现金
ORD105410,2026-06-06,S03,P15,2,12.00,现金
ORD102626,2026-05-18,S01,P12,1,8.00,银行卡
ORD105931,2026-06-10,S01,P19,2,30.00,会员储值
ORD101644,2026-05-11,S04,P14,2,20.00,支付宝
ORD117750,2026-08-29,S03,P14,3,30.00,银行卡
ORD101310,2026-05-09,S04,P18,2,36.00,会员储值
ORD116044,2026-08-17,S01,P10,1,24.00,微信
ORD116647,2026-08-22,S02,P06,2,90.00,支付宝
ORD107940,2026-06-23,S04,P04,1,38.00,银行卡
ORD102468,2026-05-17,S02,P11,1,26.00,银行卡
ORD113009,2026-07-28,S01,P10,1,24.00,现金
ORD100444,2026-05-03,S03,P09,2,36.00,银行卡
ORD108383,2026-06-27,S01,P06,2,84.00,现金
ORD100560,2026-05-04,S02,P06,1,42.00,微信
ORD111873,2026-07-19,S05,P06,1,45.00,银行卡
ORD111325,2026-07-16,S04,P08,1,25.00,支付宝
ORD105862,2026-06-09,S02,P06,2,84.00,微信
ORD113322,2026-07-30,S02,P06,2,90.00,支付宝
ORD113656,2026-08-01,S04,P10,1,24.00,现金
ORD106553,2026-06-14,S03,P09,2,36.00,微信
ORD117563,2026-08-28,S03,P04,3,114.00,会员储值
ORD102155,2026/5/15,S03,P11,1,26.00,会员储值
ORD104520,2026-05-31,S02,P09,1,18.00,微信
ORD113303,2026-07-30,S02,P12,2,16.00,会员储值
ORD110323,2026-07-09,S05,P03,2,52.00,现金
ORD111664,2026-07-18,S05,P14,2,20.00,支付宝
ORD117089,2026-08-24,S04,P10,2,48.00,支付宝
ORD109478,2026-07-04,S02,P03,2,52.00,支付宝
ORD115543,2026-08-14,S02,P21,1,16.00,微信
ORD106641,2026-06-14,S05,P19,1,15.00,银行卡
ORD108946,2026-06-30,S02,P13,1,20.00,现金
ORD103415,2026-05-23,S05,P16,1,5.00,会员储值
ORD107341,2026-06-20,S01,P12,1,8.00,会员储值
ORD106465,2026-06-14,S01,P14,2,20.00,会员储值
ORD117988,2026-08-30,S04,P12,1,8.00,现金
ORD109876,2026-07-06,S03,P03,2,52.00,会员储值
ORD109913,2026-07-06,S05,P03,1,26.00,微信
ORD100035,2026-05-01,S02,P06,1,42.00,会员储值
ORD116159,2026-08-18,S01,P15,1,6.00,银行卡
ORD100400,2026-05-03,S02,P05,2,68.00,微信
ORD115049,2026-08-10,S03,P08,2,50.00,支付宝
ORD112664,2026-07-25,S05,P18,2,36.00,支付宝
ORD109388,2026-07-03,S04,P10,1,24.00,微信
ORD106794,2026-06-16,S02,P04,2,76.00,微信
ORD105215,2026-06-05,S02,P06,1,42.00,会员储值
ORD113142,2026-07-29,S01,P01,1,32.00,支付宝
ORD102234,2026-05-16,S01,P03,3,78.00,支付宝
ORD117274,2026-08-26,S01,P12,2,16.00,支付宝
ORD117900,2026-08-30,S02,P21,1,16.00,银行卡
ORD105998,2026-06-10,S05,P12,1,8.00,微信
ORD118033,2026-08-31,S01,P12,1,8.00,会员储值
ORD117927,2026-08-30,S03,P03,1,26.00,微信
ORD106953,2026-06-17,S03,P09,1,18.00,银行卡
ORD107665,2026-06-21,S04,P11,2,52.00,微信
ORD115602,2026-08-14,S04,P10,2,48.00,银行卡
ORD103536,2026-05-24,S03,P07,2,44.00,银行卡
ORD100566,2026-05-04,S02,P02,1,30.00,会员储值
ORD104225,2026-05-29,S04,P15,2,12.00,银行卡
ORD113756,2026-08-02,S01,P01,1,32.00,现金
ORD101174,2026-05-09,S01,P01,2,64.00,支付宝
ORD117344,2026-08-26,S04,P20,3,66.00,微信
ORD107650,2026-06-21,S04,P18,3,54.00,现金
ORD109562,2026-07-04,S04,P03,1,26.00,会员储值
ORD110269,2026-07-09,S03,P12,2,16.00,银行卡
ORD105102,2026-06-04,S03,P15,2,12.00,现金
ORD115419,2026-08-13,S02,P06,1,45.00,微信
ORD117470,2026-08-27,S04,P10,1,24.00,现金
ORD100133,2026-05-02,S01,P11,2,52.00,支付宝
ORD102071,2026-05-14,S05,P20,1,22.00,微信
ORD115417,2026-08-13,S02,P17,2,24.00,会员储值
ORD107865,2026-06-23,S01,P15,1,6.00,微信
ORD101542,2026-05-10,S05,P19,2,30.00,银行卡
ORD112576,2026-07-25,S03,P17,1,12.00,微信
ORD108280,2026-06-26,S02,P05,1,34.00,支付宝
ORD116222,2026-08-18,S04,P20,1,22.00,现金
ORD111287,2026-07-16,S02,P18,2,36.00,支付宝
ORD113375,2026-07-30,S04,P10,1,24.00,微信
ORD111659,2026-07-18,S04,P10,1,24.00,银行卡
ORD116908,2026-08-23,S03,P07,1,22.00,支付宝
ORD112989,2026-07-27,S05,P08,1,25.00,现金
ORD104884,2026-06-02,S04,P10,1,24.00,微信
ORD116482,2026-08-21,S01,P02,1,30.00,会员储值
ORD104808,2026-06-02,S01,P02,3,90.00,支付宝
ORD106415,2026-06-13,S04,P09,1,18.00,微信
ORD102571,2026-05-17,S04,P10,2,48.00,现金
ORD106965,2026-06-17,S04,P03,3,78.00,支付宝
ORD113691,2026-08-01,S04,P04,3,114.00,支付宝
ORD117629,2026-08-28,S05,P11,2,52.00,支付宝
ORD114683,2026-08-08,S03,P02,1,30.00,支付宝
ORD109468,2026-07-04,S02,P12,1,8.00,支付宝
ORD109576,2026-07-04,S04,P01,1,32.00,银行卡
ORD117177,2026/8/25,S03,P08,3,75.00,会员储值
ORD104575,2026-05-31,S03,P16,2,10.00,微信
ORD116256,2026-08-19,S01,P21,3,48.00,现金
ORD102701,2026-05-18,S04,P10,2,48.00,银行卡
ORD107313,2026-06-19,S05,P19,1,15.00,现金
ORD112524,2026-07-25,S02,P04,1,38.00,支付宝
ORD107498,2026-06-20,S05,P19,1,15.00,现金
ORD109483,2026-07-04,S02,P06,3,135.00,会员储值
ORD115798,2026-08-15,S04,P10,1,24.00,会员储值
ORD113414,2026-07-31,S01,P15,3,18.00,会员储值
ORD107438,2026-06-20,S03,P20,1,22.00,银行卡
ORD100426,2026-05-03,S03,P09,3,54.00,现金
ORD113709,2026-08-01,S05,P02,3,90.00,微信
ORD112315,2026-07-23,S01,P19,1,15.00,现金
ORD117267,2026-08-26,S01,P01,3,96.00,微信
ORD103244,2026-05-23,S01,P15,1,6.00,银行卡
ORD100233,2026-05-02,S03,P03,1,26.00,现金
ORD115661,2026-08-15,S01,P19,1,15.00,现金
ORD106717,2026-06-15,S04,P06,2,84.00,微信
ORD116266,2026-08-19,S01,P09,2,36.00,现金
ORD106024,2026-06-11,S01,P08,1,25.00,现金
ORD111333,2026-07-16,S04,P10,1,24.00,微信
ORD109272,2026-07-02,S05,P03,2,52.00,微信
ORD111065,2026-07-14,S04,P09,1,18.00,现金
ORD106778,2026-06-16,S01,P15,1,6.00,银行卡
ORD116975,2026-08-23,S05,P05,2,,会员储值
ORD103392,2026-05-23,S05,P07,1,22.00,微信
ORD101347,2026-05-09,S05,P04,2,76.00,银行卡
ORD115112,2026-08-10,S05,P03,2,52.00,银行卡
ORD100547,2026-05-04,S01,P12,1,8.00,银行卡
ORD108769,2026-06-29,S01,P02,1,30.00,支付宝
ORD118038,2026-08-31,S01,P02,2,60.00,会员储值
ORD114253,2026-08-05,S02,P06,1,45.00,会员储值
ORD101371,2026-05-10,S01,P02,1,30.00,支付宝
ORD108063,2026-06-24,S04,P01,3,96.00,现金
ORD105128,2026-06-04,S04,P10,3,72.00,微信
ORD105452,2026-06-06,S04,P11,1,26.00,会员储值
ORD102914,2026-05-20,S03,P15,2,12.00,现金
ORD110965,2026-07-13,S05,P01,3,96.00,会员储值
ORD105432,2026-06-06,S03,P17,1,12.00,现金
ORD115818,2026-08-15,S05,P21,2,32.00,支付宝
ORD116492,2026-08-21,S01,P13,1,20.00,微信
ORD114757,2026-08-08,S05,P11,1,26.00,会员储值
ORD117793,2026-08-29,S04,P10,1,24.00,微信
ORD112018,2026-07-20,S05,P05,1,34.00,支付宝
ORD104781,2026-06-01,S05,P06,1,42.00,会员储值
ORD113273,2026-07-30,S01,P16,1,5.00,会员储值
ORD104687,2026-06-01,S02,P03,2,52.00,现金
ORD117983,2026-08-30,S04,P18,2,36.00,银行卡
ORD115199,2026-08-11,S03,P07,1,22.00,银行卡
ORD111973,2026-07-20,S03,P04,1,38.00,微信
ORD110005,2026-07-07,S03,P08,1,25.00,银行卡
ORD107897,2026-06-23,S02,P06,2,84.00,会员储值
ORD107234,2026-06-19,S02,P16,2,10.00,支付宝
ORD102383,2026-05-16,S05,P07,1,22.00,现金
ORD103365,2026-05-23,S04,P11,2,,会员储值
ORD104915,2026-06-03,S01,P13,1,20.00,微信
ORD107394,2026-06-20,S02,P07,2,¥44.00,会员储值
ORD117058,2026-08-24,S03,P08,1,25.00,支付宝
ORD110454,2026-07-10,S05,P09,1,18.00,微信
ORD104497,2026-05-31,S01,P13,1,20.00,微信
ORD117800,2026-08-29,S05,P03,1,26.00,会员储值
ORD105183,2026-06-05,S01,P02,1,30.00,现金
ORD114472,2026-08-07,S01,P02,2,60.00,银行卡
ORD101040,2026-05-08,S01,P10,2,48.00,会员储值
ORD103620,2026-05-24,S05,P03,1,26.00,现金
ORD102812,2026-05-19,S04,P17,2,24.00,支付宝
ORD108722,2026-06-28,S04,P15,1,6.00,会员储值
ORD115165,2026-08-11,S02,P05,2,68.00,微信
ORD115931,2026-08-16,S03,P01,1,32.00,会员储值
ORD108276,2026-06-26,S02,P11,1,26.00,银行卡
ORD102451,2026-05-17,S01,P02,3,90.00,现金
ORD110889,2026-07-13,S02,P05,1,34.00,现金
ORD116206,2026-08-18,S04,P07,3,66.00,微信
ORD108984,2026-06-30,S04,P18,1,18.00,银行卡
ORD113829,2026-08-02,S03,P08,1,25.00,支付宝
ORD100835,2026-05-06,S03,P05,2,68.00,微信
ORD103221,2026-05-22,S05,P09,2,36.00,银行卡
ORD117904,2026-08-30,S02,P04,1,38.00,现金
ORD117403,2026-08-27,S01,P16,2,10.00,微信
ORD110161,2026-07-08,S04,P20,1,22.00,银行卡
ORD111072,2026-07-14,S04,P11,2,52.00,微信
ORD106444,2026-06-13,S05,P05,1,34.00,微信
ORD109612,2026-07-04,S05,P02,1,30.00,会员储值
ORD102181,2026-05-15,S04,P18,1,18.00,微信
ORD100051,2026-05-01,S03,P08,2,50.00,现金
ORD116190,2026-08-18,S03,P14,1,10.00,微信
ORD116956,2026-08-23,S04,P03,2,52.00,会员储值
ORD110560,2026-07-11,S03,P15,1,6.00,银行卡
ORD113106,2026-07-28,S04,P10,3,72.00,会员储值
ORD104642,2026-05-31,S05,P01,1,32.00,微信
ORD102605,2026-05-17,S05,P03,1,26.00,会员储值
ORD103811,2026-05-26,S03,P07,2,44.00,微信
ORD108898,2026-06-30,S01,P17,1,12.00,会员储值
ORD111289,2026-07-16,S02,P06,2,90.00,微信
ORD110950,2026-07-13,S04,P11,2,52.00,银行卡
ORD108924,2026-06-30,S02,P12,1,8.00,支付宝
ORD100715,2026-05-05,S03,P18,2,36.00,微信
ORD107409,2026-06-20,S03,P09,1,18.00,银行卡
ORD110745,2026-07-12,S03,P09,2,36.00,现金
ORD111279,2026-07-16,S02,P02,1,30.00,微信
ORD107064,2026-06-18,S02,P03,1,26.00,银行卡
ORD110750,2026-07-12,S03,P14,2,20.00,支付宝
ORD105057,2026-06-04,S01,P01,1,32.00,会员储值
ORD104125,2026-05-28,S05,P06,1,42.00,微信
ORD105396,2026-06-06,S03,P08,1,25.00,支付宝
ORD100324,2026-05-02,S05,P08,2,50.00,支付宝
ORD103022,2026-05-21,S02,P09,1,18.00,支付宝
ORD107821,2026-06-22,S04,P10,2,48.00,微信
ORD115683,2026-08-15,S02,P04,1,38.00,现金
ORD104874,2026-06-02,S04,P02,1,30.00,银行卡
ORD109066,2026-07-01,S02,P19,1,15.00,支付宝
ORD116426,2026-08-20,S04,P10,1,24.00,支付宝
ORD116189,2026-08-18,S03,P09,2,36.00,现金
ORD111574,2026-07-18,S02,P03,2,52.00,会员储值
ORD107463,2026-06-20,S04,P10,2,48.00,会员储值
ORD116533,2026-08-21,S03,P11,2,52.00,现金
ORD112791,2026-07-26,S03,P09,1,18.00,支付宝
ORD110531,2026-07-11,S03,P15,1,6.00,会员储值
ORD111847,2026-07-19,S04,P05,1,34.00,现金
ORD113271,2026-07-29,S05,P20,2,44.00,支付宝
ORD117319,2026-08-26,S03,P03,2,52.00,微信
ORD114766,2026-08-08,S05,P19,1,15.00,支付宝
ORD113083,2026-07-28,S03,P14,1,10.00,微信
ORD105641,2026-06-07,S04,P11,3,78.00,银行卡
ORD105442,2026-06-06,S04,P11,2,52.00,银行卡
ORD102409,2026-05-16,S05,P06,3,126.00,银行卡
ORD115081,2026-08-10,S04,P10,3,72.00,现金
ORD112710,2026-07-26,S01,P01,3,96.00,银行卡
ORD117777,2026-08-29,S04,P15,1,6.00,支付宝
ORD109186,2026-07-02,S02,P11,2,52.00,支付宝
ORD110389,2026-07-10,S03,P13,1,20.00,现金
ORD115073,2026-08-10,S04,P08,2,50.00,微信
ORD108854,2026-06-29,S04,P11,3,78.00,会员储值
ORD105657,2026-06-07,S04,P10,2,48.00,支付宝
ORD114762,2026-08-08,S05,P18,2,36.00,银行卡
ORD106093,2026-06-11,S04,P17,1,12.00,现金
ORD112274,2026-07-22,S05,P10,2,48.00,银行卡
ORD103680,2026-05-25,S03,P12,1,8.00,银行卡
ORD107361,2026-06-20,S01,P02,1,30.00,会员储值
ORD104339,2026-05-30,S02,P04,1,38.00,会员储值
ORD116419,2026-08-20,S03,P07,2,44.00,现金
ORD112771,2026-07-26,S03,P08,2,50.00,支付宝
ORD103588,2026-05-24,S05,P10,2,48.00,银行卡
ORD100372,2026-05-03,S02,P06,3,126.00,会员储值
ORD115570,2026-08-14,S03,P08,1,25.00,微信
ORD111474,2026-07-17,S04,P13,2,40.00,银行卡
ORD113136,2026-07-28,S05,P20,2,44.00,微信
ORD114001,2026-08-03,S03,P21,1,16.00,支付宝
ORD115958,2026-08-16,S03,P09,1,18.00,支付宝
ORD115866,2026-08-16,S01,P01,1,32.00,微信
ORD103781,2026-05-26,S02,P03,1,26.00,现金
ORD104057,2026-05-28,S02,P10,1,24.00,微信
ORD113477,2026-07-31,S03,P07,1,22.00,现金
